industry,UnitId,mos,stratum,Sales
XXX2,1,61650,1,50008
XXX2,2,58228,1,62032
XXX2,3,4106,1,5961
XXX2,4,29866,1,36993
XXX2,5,29861,1,37744
XXX2,6,29059,1,20036
XXX2,7,13483,1,13437
XXX2,8,30490,1,34508
XXX2,9,26027,1,26047
XXX2,10,52683,1,53343
XXX2,11,59472,1,75145
XXX2,12,49453,1,48932
XXX2,13,46306,1,45934
XXX2,14,52570,1,55123
XXX2,15,52740,1,62654
XXX2,16,61650,1,50392
XXX2,17,61668,1,65992
XXX2,18,51357,1,26828
XXX2,19,62118,1,81533
XXX2,20,64314,1,71369
XXX2,21,52869,1,78552
XXX2,22,39352,1,51908
XXX2,23,61411,1,65210
XXX2,24,57714,1,61206
XXX2,25,49444,1,66336
XXX2,26,62183,1,70980
XXX2,27,54662,1,55681
XXX2,28,34653,1,32896
XXX2,29,54200,1,59255
XXX2,30,23876,1,26715
XXX2,31,24263,1,25535
XXX2,32,63784,1,57365
XXX2,33,35264,1,30687
XXX2,34,46836,1,52642
XXX2,35,44114,1,45006
XXX2,36,20480,1,12325
XXX2,37,51813,1,49532
XXX2,38,39792,1,32277
XXX2,39,49187,1,46811
XXX2,40,35418,1,27634
XXX2,41,43283,1,28174
XXX2,42,4303,1,3677
XXX2,43,14008,1,12318
XXX2,44,4133,1,5688
XXX2,45,14196,1,18233
XXX2,46,12359,1,9066
XXX2,47,5730,1,5523
XXX2,48,5544,1,5676
XXX2,49,9935,1,9835
XXX2,50,9842,1,9520
XXX2,51,6375,1,5921
XXX2,52,34573,1,39206
XXX2,53,29720,1,32986
XXX2,54,32782,1,28213
XXX2,55,32143,1,35738
XXX2,56,37962,1,45374
XXX2,57,34251,1,31464
XXX2,58,36177,1,39058
XXX2,59,34476,1,34335
XXX2,60,37852,1,37842
XXX2,61,35488,1,29503
XXX2,62,30597,1,43668
XXX2,63,40587,1,43048
XXX2,64,39814,1,34760
XXX2,65,38286,1,15650
XXX2,66,38932,1,44275
XXX2,67,38695,1,43470
XXX2,68,37627,1,47635
XXX2,69,37693,1,29697
XXX2,70,9229,1,10136
XXX2,71,17716,1,12939
XXX2,72,9495,1,11417
XXX2,73,17213,1,21201
XXX2,74,17602,1,19277
XXX2,75,41027,1,33863
XXX2,76,38752,1,36760
XXX2,77,40538,1,44680
XXX2,78,39704,1,37240
XXX2,79,39529,1,34921
XXX2,80,38441,1,35189
XXX2,81,39201,1,31485
XXX2,82,37658,1,38728
XXX2,83,38139,1,41366
XXX2,84,39590,1,47383
XXX2,85,40930,1,51801
XXX2,86,33682,1,28799
XXX2,87,27507,1,28563
XXX2,88,29577,1,36219
XXX2,89,28953,1,39798
XXX2,90,16043,1,16524
XXX2,91,5887,1,5539
XXX2,92,27786,1,32469
XXX2,93,15215,1,17072
XXX2,94,38491,1,35382
XXX2,95,38442,1,38242
XXX2,96,31413,1,29602
XXX2,97,31853,1,36495
XXX2,98,32855,1,42176
XXX2,99,34936,1,41903
XXX2,100,29705,1,28783
XXX2,101,31031,1,26528
XXX2,102,34319,1,28742
XXX2,103,38894,1,43572
XXX2,104,13334,1,18273
XXX2,105,56956,1,57947
XXX2,106,16223,1,18893
XXX2,107,17591,1,17330
XXX2,108,19888,1,21557
XXX2,109,16479,1,17439
XXX2,110,20772,1,17904
XXX2,111,17531,1,18573
XXX2,112,15066,1,16455
XXX2,113,14438,1,14064
XXX2,114,23087,1,14894
XXX2,115,10730,1,9094
XXX2,116,11965,1,11632
XXX2,117,19935,1,17068
XXX2,118,37825,1,37802
XXX2,119,37865,1,49975
XXX2,120,38055,1,36982
XXX2,121,40323,1,26334
XXX2,122,39944,1,36750
XXX2,123,41025,1,36221
XXX2,124,40070,1,42101
XXX2,125,39601,1,39880
XXX2,126,35895,1,19521
XXX2,127,36340,1,37021
XXX2,128,35796,1,36700
XXX2,129,4458,1,2916
XXX2,130,7846,1,11029
XXX2,131,8267,1,8075
XXX2,132,10010,1,12158
XXX2,133,8776,1,7095
XXX2,134,36043,1,32657
XXX2,135,37157,1,38288
XXX2,136,48379,1,51895
XXX2,137,30040,1,27999
XXX2,138,30108,1,31824
XXX2,139,24335,1,28165
XXX2,140,24679,1,20240
XXX2,141,25086,1,24313
XXX2,142,121136,2,130266
XXX2,143,128398,2,151738
XXX2,144,138780,2,128693
XXX2,145,77003,2,81608
XXX2,146,71920,2,79369
XXX2,147,133417,2,136623
XXX2,148,160336,2,209166
XXX2,149,151557,2,159752
XXX2,150,128561,2,130436
XXX2,151,150828,2,156061
XXX2,152,126686,2,116573
XXX2,153,75792,2,76690
XXX2,154,159882,2,168746
XXX2,155,144619,2,121722
XXX2,156,133215,2,109073
XXX2,157,143488,2,192205
XXX2,158,120336,2,96969
XXX2,159,141179,2,137289
XXX2,160,130560,2,90701
XXX2,161,109062,2,122246
XXX2,162,88458,2,90714
XXX2,163,156793,2,150024
XXX2,164,152545,2,170463
XXX2,165,134847,2,144609
XXX2,166,88352,2,94847
XXX2,167,75886,2,90056
XXX2,168,156277,2,162008
XXX2,169,143607,2,175091
XXX2,170,121813,2,105863
XXX2,171,143206,2,152590
XXX2,172,165046,2,158778
XXX2,173,108773,2,146875
